/* Database Systems, Coronel/Morris */
/* Type of SQL : MySQL */

CREATE TABLE ORDERS (
ORDER_ID int PRIMARY KEY,
ORDER_DATE DATETIME,
DEPT_ID nvarchar (6),
VENDOR_ID nvarchar (10),
PRODUCT_ID nvarchar (60),
ORDER_TOTCOST float
);

INSERT INTO ORDERS VALUES (1, '2013-08-28', 'PRODUC', 'ADM', 'Pencil', 33);
INSERT INTO ORDERS VALUES (2, '2013-08-29', 'PRODUC', 'GLOBAL', 'Paper', 216.87);
INSERT INTO ORDERS VALUES (3, '2013-09-07', 'ACCTNG', 'GLOBAL', 'Ribbons', 178.49);
INSERT INTO ORDERS VALUES (4, '2013-09-07', 'ACCTNG', 'GLOBAL', 'Disks', 116.95);
INSERT INTO ORDERS VALUES (5, '2013-04-02', 'ACCTNG', 'GLOBAL', 'Toners', 110.47);
INSERT INTO ORDERS VALUES (6, '2013-04-11', 'ACCTNG', 'GLOBAL', 'Labels', 136.5);
INSERT INTO ORDERS VALUES (7, '2013-04-17', 'ACCTNG', 'ADM', 'Paper', 78);
INSERT INTO ORDERS VALUES (8, '2013-02-27', 'ACCTNG', 'GLOBAL', 'Paper', 1335);
INSERT INTO ORDERS VALUES (9, '2013-09-19', 'ACCTNG', 'XTT', 'Labels', 189);
INSERT INTO ORDERS VALUES (10, '2013-10-09', 'ACCTNG', 'GLOBAL', 'Labels', 201.8);
INSERT INTO ORDERS VALUES (11, '2013-10-06', 'ACCTNG', 'MCC', 'Labels', 252);
INSERT INTO ORDERS VALUES (12, '2013-10-13', 'ACCTNG', 'XTT', 'Pencil', 52.35);
INSERT INTO ORDERS VALUES (13, '2013-10-24', 'ACCTNG', 'MCC', 'Paper', 63);
INSERT INTO ORDERS VALUES (14, '2013-10-25', 'ACCTNG', 'GLOBAL', 'Labels', 169.19);
INSERT INTO ORDERS VALUES (15, '2013-10-31', 'ACCTNG', 'MCC', 'Labels', 55);
INSERT INTO ORDERS VALUES (16, '2013-11-06', 'DESIGN', 'XTT', 'Paper', 210);
INSERT INTO ORDERS VALUES (17, '2013-11-13', 'ACCTNG', 'XTT', 'Labels', 297);
INSERT INTO ORDERS VALUES (18, '2013-12-14', 'ACCTNG', 'GLOBAL', 'Labels', 287.79);
INSERT INTO ORDERS VALUES (19, '2013-12-25', 'ACCTNG', 'GLOBAL', 'Labels', 61.02);
INSERT INTO ORDERS VALUES (20, '2014-01-10', 'ACCTNG', 'GLOBAL', 'Ribbons', 288.29);
INSERT INTO ORDERS VALUES (21, '2014-01-18', 'ACCTNG', 'GLOBAL', 'Labels', 193.57);
INSERT INTO ORDERS VALUES (22, '2014-01-23', 'PRODUC', 'GLOBAL', 'Labels', 92.19);
INSERT INTO ORDERS VALUES (23, '2014-01-24', 'PRODUC', 'MCC', 'Ribbons', 299);
INSERT INTO ORDERS VALUES (24, '2014-01-26', 'PRODUC', 'BCC', 'Labels', 146.5);
INSERT INTO ORDERS VALUES (25, '2014-01-26', 'PRODUC', 'GLOBAL', 'Ribbons', 289.88);
INSERT INTO ORDERS VALUES (26, '2014-01-30', 'PRODUC', 'XTT', 'Toners', 300);
INSERT INTO ORDERS VALUES (27, '2014-01-26', 'PRODUC', 'ADM', 'Labels', 277.5);
INSERT INTO ORDERS VALUES (28, '2014-01-30', 'PRODUC', 'GLOBAL', 'Paper', 262.47);
INSERT INTO ORDERS VALUES (29, '2014-02-05', 'PRODUC', 'ADM', 'Labels', 11.95);
INSERT INTO ORDERS VALUES (30, '2014-02-05', 'PRODUC', 'ADM', 'Toners', 277.5);
INSERT INTO ORDERS VALUES (31, '2014-02-05', 'PRODUC', 'GLOBAL', 'Paper', 258.29);
INSERT INTO ORDERS VALUES (32, '2014-02-05', 'PRODUC', 'BCC', 'Labels', 229);
INSERT INTO ORDERS VALUES (33, '2014-02-07', 'PRODUC', 'ADM', 'Labels', 241.5);
INSERT INTO ORDERS VALUES (34, '2014-03-22', 'PRODUC', 'ADM', 'Ribbons', 91.85);
INSERT INTO ORDERS VALUES (35, '2014-01-25', 'MARKET', 'BCC', 'Paper', 449);
INSERT INTO ORDERS VALUES (36, '2014-03-15', 'PRODUC', 'ADM', 'Ribbons', 210);
INSERT INTO ORDERS VALUES (37, '2014-03-22', 'PRODUC', 'XTT', 'Ribbons', 297);
INSERT INTO ORDERS VALUES (38, '2014-04-01', 'PRODUC', 'ADM', 'Ribbons', 278);
INSERT INTO ORDERS VALUES (41, '2014-03-27', 'PRODUC', 'GLOBAL', 'Labels', 120.63);
INSERT INTO ORDERS VALUES (42, '2014-02-05', 'ACCTNG', 'ADM', 'Ribbons', 277.5);
INSERT INTO ORDERS VALUES (43, '2014-04-03', 'ACCTNG', 'GLOBAL', 'Labels', 238.34);
INSERT INTO ORDERS VALUES (44, '2014-04-10', 'ACCTNG', 'GLOBAL', 'Labels', 244.57);
INSERT INTO ORDERS VALUES (45, '2014-04-10', 'ACCTNG', 'ADM', 'Labels', 269);
INSERT INTO ORDERS VALUES (46, '2014-04-10', 'ACCTNG', 'GLOBAL', 'Ribbons', 225.12);
INSERT INTO ORDERS VALUES (47, '2014-04-10', 'PRODUC', 'ADM', 'Labels', 117.75);
INSERT INTO ORDERS VALUES (48, '2014-04-10', 'PRODUC', 'GLOBAL', 'Labels', 182.19);
INSERT INTO ORDERS VALUES (49, '2014-04-12', 'PRODUC', 'GLOBAL', 'Labels', 225.12);
INSERT INTO ORDERS VALUES (50, '2014-04-13', 'PRODUC', 'GLOBAL', 'Labels', 223.08);
INSERT INTO ORDERS VALUES (51, '2014-04-13', 'PRODUC', 'GLOBAL', 'Labels', 291.06);
INSERT INTO ORDERS VALUES (52, '2014-04-13', 'PRODUC', 'XTT', 'Labels', 258);
INSERT INTO ORDERS VALUES (53, '2014-04-13', 'PRODUC', 'XTT', 'Labels', 297);
INSERT INTO ORDERS VALUES (54, '2014-04-25', 'PRODUC', 'GLOBAL', 'Pencil', 30.95);
INSERT INTO ORDERS VALUES (55, '2014-05-01', 'MARKET', 'ADM', 'Labels', 114);
INSERT INTO ORDERS VALUES (56, '2014-05-08', 'PRODUC', 'ADM', 'Labels', 275);
INSERT INTO ORDERS VALUES (57, '2014-06-25', 'PRODUC', 'ADM', 'Labels', 176.9);
INSERT INTO ORDERS VALUES (58, '2014-06-25', 'PRODUC', 'GLOBAL', 'Labels', 55.58);
INSERT INTO ORDERS VALUES (59, '2014-06-26', 'PRODUC', 'ADM', 'Pencil', 55.16);
INSERT INTO ORDERS VALUES (60, '2014-06-26', 'PRODUC', 'MCC', 'Labels', 166.6);
INSERT INTO ORDERS VALUES (61, '2014-07-04', 'PRODUC', 'XTT', 'Labels', 186);
INSERT INTO ORDERS VALUES (62, '2014-07-11', 'PRODUC', 'GLOBAL', 'Toners', 35.9);
